complex_id	uniprot_a	uniprot_b	combined_score
A0JLT2	A0JLT2	A0JLT2	1
A0JLT2	A0JLT2	O43513	1
A0JLT2	A0JLT2	O60244	1
A0JLT2	A0JLT2	O60313	1
A0JLT2	A0JLT2	O75448	1
A0JLT2	A0JLT2	O75586	1
A0JLT2	A0JLT2	O95402	1
A0JLT2	A0JLT2	P24863	1
A0JLT2	A0JLT2	P49336	1
A0JLT2	A0JLT2	Q13503	1
A0JLT2	A0JLT2	Q15528	1
A0JLT2	A0JLT2	Q15648	1
A0JLT2	A0JLT2	Q6P2C8	1
A0JLT2	A0JLT2	Q71F56	1
A0JLT2	A0JLT2	Q71SY5	1
A0JLT2	A0JLT2	Q93074	1
A0JLT2	A0JLT2	Q96G25	1
A0JLT2	A0JLT2	Q96HR3	1
A0JLT2	A0JLT2	Q96RN5	1
A0JLT2	A0JLT2	Q9BTT4	1
A0JLT2	A0JLT2	Q9BUE0	1
A0JLT2	A0JLT2	Q9BWU1	1
A0JLT2	A0JLT2	Q9H204	1
A0JLT2	A0JLT2	Q9H944	1
A0JLT2	A0JLT2	Q9NPJ6	1
A0JLT2	A0JLT2	Q9NVC6	1
A0JLT2	A0JLT2	Q9NWA0	1
A0JLT2	A0JLT2	Q9NX70	1
A0JLT2	A0JLT2	Q9P086	1
A0JLT2	A0JLT2	Q9UHV7	1
A0JLT2	A0JLT2	Q9ULK4	1
A0JLT2	A0JLT2	Q9Y2X0	1
A0JLT2	A0JLT2	Q9Y3C7	1
A1A4S6	A1A4S6	A1A4S6	1
A1A4S6	A1A4S6	P35221	1
A1Z199	A1Z199	A1Z199	1
A1Z199	A1Z199	P62993	1
A1Z199	A1Z199	Q07889	1
A2ABV5	A2ABV5	A2ABV5	1
A2ABV5	A2ABV5	O35692	1
A2ABV5	A2ABV5	Q6PGF3	1
A2ABV5	A2ABV5	Q8VCD5	1
A2ABV5	A2ABV5	Q921D4	1
A2ABV5	A2ABV5	Q9CQ39	1
A2ABV5	A2ABV5	Q9CQA5	1
A2ABV5	A2ABV5	Q9CZB6	1
A2ABV5	A2ABV5	Q9R0X0	1
A2AGH6	A2AGH6	A2AGH6	1
A2AGH6	A2AGH6	A2AGH8	1
A2AGH6	A2AGH6	A2AGH9	1
A2AGH6	A2AGH6	Q569Z6	1
A2AGH6	A2AGH6	Q5U427	1
A2AGH6	A2AGH6	Q62447	1
A2AGH6	A2AGH6	Q6PGF3	1
A2AGH6	A2AGH6	Q80YQ2	1
A2AGH6	A2AGH6	Q921D4	1
A2AGH6	A2AGH6	Q925J9	1
A2AGH6	A2AGH6	Q99K74	1
A2AGH8	A2AGH8	A2AGH6	1
A2AGH8	A2AGH8	A2AGH8	1
A2AGH8	A2AGH8	A2AGH9	1
A2AGH8	A2AGH8	Q569Z6	1
A2AGH8	A2AGH8	Q5U427	1
A2AGH8	A2AGH8	Q62447	1
A2AGH8	A2AGH8	Q6PGF3	1
A2AGH8	A2AGH8	Q80YQ2	1
A2AGH8	A2AGH8	Q921D4	1
A2AGH8	A2AGH8	Q925J9	1
A2AGH8	A2AGH8	Q99K74	1
A2AGH9	A2AGH9	A2AGH6	1
A2AGH9	A2AGH9	A2AGH8	1
A2AGH9	A2AGH9	A2AGH9	1
A2AGH9	A2AGH9	Q569Z6	1
A2AGH9	A2AGH9	Q5U427	1
A2AGH9	A2AGH9	Q62447	1
A2AGH9	A2AGH9	Q6PGF3	1
A2AGH9	A2AGH9	Q80YQ2	1
A2AGH9	A2AGH9	Q921D4	1
A2AGH9	A2AGH9	Q925J9	1
A2AGH9	A2AGH9	Q99K74	1
A4GTP4	A4GTP4	A4GTP4	1
A4GTP4	A4GTP4	Q9JM73	1
A5ACB9	A5ACB9	A5ACB9	1
A5ACB9	A5ACB9	P62871	1
A5ACB9	A5ACB9	P63212	1
A5D8V6	A5D8V6	A5D8V6	1
A5D8V6	A5D8V6	Q99816	1
A5D8V6	A5D8V6	Q9UK41	1
A6H687	A6H687	A6H687	1
A6H687	A6H687	P51587	1
A6H687	A6H687	P60896	1
A6H687	A6H687	Q5TA45	1
A6H687	A6H687	Q6P9B9	1
A6H687	A6H687	Q75QN2	1
A6H687	A6H687	Q96HW7	1
A6H687	A6H687	Q96PV6	1
A6H687	A6H687	Q9H0H0	1
A6H687	A6H687	Q9NV88	1
A6H687	A6H687	Q9NVH2	1
A6H687	A6H687	Q9NVR2	1
A6H687	A6H687	Q9UL03	1
A6H8Y1	A6H8Y1	A6H8Y1	1
A6H8Y1	A6H8Y1	P20226	1
A6H8Y1	A6H8Y1	Q12789	1
A6H8Y1	A6H8Y1	Q8WUA4	1
A6H8Y1	A6H8Y1	Q92664	1
A6H8Y1	A6H8Y1	Q92994	1
A6H8Y1	A6H8Y1	Q9UKN8	1
A6H8Y1	A6H8Y1	Q9Y5Q8	1
A6H8Y1	A6H8Y1	Q9Y5Q9	1
A7MCY6	A7MCY6	A7MCY6	1
A7MCY6	A7MCY6	P07900	1
A7MCY6	A7MCY6	P08238	1
A7MCY6	A7MCY6	Q12933	1
A7MCY6	A7MCY6	Q16543	1
A7MCY6	A7MCY6	Q92844	1
A7MCY6	A7MCY6	Q9H6S1	1
A7MCY6	A7MCY6	Q9UHD2	1
A8K8P3	A8K8P3	A8K8P3	1
A8K8P3	A8K8P3	O15297	1
A8K8P3	A8K8P3	O43660	1
A8K8P3	A8K8P3	O75533	1
A8K8P3	A8K8P3	O75934	1
A8K8P3	A8K8P3	P09012	1
A8K8P3	A8K8P3	P09661	1
A8K8P3	A8K8P3	P11142	1
A8K8P3	A8K8P3	P11388	1
A8K8P3	A8K8P3	P15884	1
A8K8P3	A8K8P3	P23246	1
A8K8P3	A8K8P3	P38159	1
A8K8P3	A8K8P3	P62136	1
