uniprot_a	uniprot_b	Confidence value(s)
P04637	P0CG48	0.99
P0CG48	P04637	0.99
P00533	P0CG48	0.99
P0CG48	P00533	0.99
P0CG48	Q9Y4K3	0.99
Q9Y4K3	P0CG48	0.99
P0CG48	Q9Y6K9	0.99
Q9Y6K9	P0CG48	0.99
P40337	Q16665	0.99
Q16665	P40337	0.99
P00533	P22681	0.99
P22681	P00533	0.99
P0CG48	Q00987	0.99
Q00987	P0CG48	0.99
P22681	P62993	0.99
P62993	P22681	0.99
P05412	P45983	0.99
P45983	P05412	0.99
P29353	P62993	0.99
P38398	Q99728	0.99
O14920	Q9Y6K9	0.99
P62993	P29353	0.99
Q99728	P38398	0.99
Q9Y6K9	O14920	0.99
P22681	P27986	0.99
P27986	P22681	0.99
P63208	Q13616	0.99
Q13616	P63208	0.99
P42345	Q8N122	0.99
Q8N122	P42345	0.99
P04637	Q09472	0.99
O15111	Q9Y6K9	0.99
Q09472	P04637	0.99
Q9Y6K9	O15111	0.99
P24864	P24941	0.99
P06400	Q01094	0.99
P24941	P24864	0.99
Q01094	P06400	0.99
P01106	P61244	0.99
P24941	P38936	0.99
P61244	P01106	0.99
P38936	P24941	0.99
O60563	P50750	0.99
P25963	Q04206	0.99
P84022	Q13485	0.99
Q13485	Q15796	0.99
P00533	P62993	0.99
P50750	O60563	0.99
Q04206	P25963	0.99
Q13485	P84022	0.99
Q15796	Q13485	0.99
P62993	P00533	0.99
P62993	Q07889	0.99
O15287	O15360	0.99
P62877	Q13616	0.99
Q07889	P62993	0.99
O15360	O15287	0.99
Q13616	P62877	0.99
Q13547	Q96ST3	0.99
Q13547	Q92769	0.99
Q96ST3	Q13547	0.99
Q92769	Q13547	0.99
P24941	P46527	0.99
O15111	P25963	0.99
Q12834	Q13257	0.99
P20248	P24941	0.99
P46527	P24941	0.99
P25963	O15111	0.99
Q13257	Q12834	0.99
P24941	P20248	0.99
P0CG48	Q16665	0.99
P40337	Q13617	0.99
P0CG48	P35222	0.99
P0CG48	Q13501	0.99
Q16665	P0CG48	0.99
Q13617	P40337	0.99
P35222	P0CG48	0.99
Q13501	P0CG48	0.99
P12956	P13010	0.99
P12830	P35222	0.99
Q14145	Q16236	0.99
P13010	P12956	0.99
P35222	P12830	0.99
Q16236	Q14145	0.99
O15151	P04637	0.99
P40337	Q15369	0.99
P24941	Q02539	0.99
P04637	O15151	0.99
Q15369	P40337	0.99
Q02539	P24941	0.99
P06400	P11802	0.99
P30260	Q12834	0.99
P0CG48	Q12933	0.99
P0CG48	Q13546	0.99
O14920	P25963	0.99
P11802	P06400	0.99
Q12834	P30260	0.99
Q12933	P0CG48	0.99
Q13546	P0CG48	0.99
P25963	O14920	0.99
P0CG48	P55036	0.99
P0CG48	Q16236	0.99
P98170	Q9NR28	0.99
P55036	P0CG48	0.99
Q16236	P0CG48	0.99
Q9NR28	P98170	0.99
P22681	P46109	0.99
P01100	P05412	0.99
P40337	Q15370	0.99
P29590	P63165	0.99
P0CG48	P54725	0.99
P12004	P38936	0.99
P63208	Q13309	0.99
Q13309	Q13616	0.99
Q13158	Q14790	0.99
O15151	Q00987	0.99
P46109	P22681	0.99
P05412	P01100	0.99
Q15370	P40337	0.99
P63165	P29590	0.99
P54725	P0CG48	0.99
P38936	P12004	0.99
Q13309	P63208	0.99
Q13616	Q13309	0.99
Q14790	Q13158	0.99
Q00987	O15151	0.99
P0CG48	P54252	0.99
P19838	Q04206	0.99
Q09028	Q13547	0.99
P0CG48	P12004	0.99
P54252	P0CG48	0.99
Q04206	P19838	0.99
Q13547	Q09028	0.99
P12004	P0CG48	0.99
P49815	Q92574	0.99
P06493	P14635	0.99
P51532	Q12824	0.99
P51532	Q92922	0.99
P34932	Q9UNE7	0.99
P51587	Q06609	0.99
Q92574	P49815	0.99
P14635	P06493	0.99
Q12824	P51532	0.99
Q92922	P51532	0.99
Q9UNE7	P34932	0.99
Q06609	P51587	0.99
P01112	P04049	0.99
Q12933	Q13490	0.99
P0CG48	P55072	0.99
P04049	P01112	0.99
Q13490	Q12933	0.99
P55072	P0CG48	0.99
O60566	Q12834	0.99
P0CG48	P25963	0.99
Q13616	Q15843	0.99
P06400	P24941	0.99
P03372	Q15788	0.99
P51617	Q9Y4K3	0.99
P07900	Q9UNE7	0.99
